name;link;number
 Bartosz Opania ;/person/Bartosz+Opania-359;359
 Piotr Pawłowski I ;/person/Piotr+Paw%C5%82owski-8892;8892
 Andrzej Szalawski ;/person/Andrzej+Szalawski-8381;8381
 Maja Komorowska ;/person/Maja+Komorowska-444;444
 Andrzej Krasicki ;/person/Andrzej+Krasicki-47540;47540
 Ewa Ziętek ;/person/Ewa+Zi%C4%99tek-497;497
 Lech Ordon ;/person/Lech+Ordon-49489;49489
 Marcin Troński ;/person/Marcin+Tro%C5%84ski-3894;3894
 Katarzyna Łaniewska ;/person/Katarzyna+%C5%81aniewska-8859;8859
 Henryk Talar ;/person/Henryk+Talar-7885;7885
 Krzysztof Kolberger ;/person/Krzysztof+Kolberger-364;364
 Anna Apostolakis-Gluzińska ;/person/Anna+Apostolakis+Gluzi%C5%84ska-175490;175490
 Włodzimierz Press ;/person/W%C5%82odzimierz+Press-63268;63268
 Mieczysław Morański ;/person/Mieczys%C5%82aw+Mora%C5%84ski-70705;70705
 Gabriela Kownacka ;/person/Gabriela+Kownacka-476;476
 Stanisław Bareja ;/person/Stanis%C5%82aw+Bareja-333;333
 Krzysztof Zaleski ;/person/Krzysztof+Zaleski-4735;4735
 Magdalena Walach ;/person/Magdalena+Walach-91316;91316
 Mariusz Benoit ;/person/Mariusz+Benoit-7886;7886
 Henryk Borowski ;/person/Henryk+Borowski-8968;8968
 Leszek Herdegen ;/person/Leszek+Herdegen-49022;49022
 Rafał Królikowski ;/person/Rafa%C5%82+Kr%C3%B3likowski-8625;8625
 Karolina Gorczyca ;/person/Karolina+Gorczyca-739768;739768
 Rafał Zawierucha ;/person/Rafa%C5%82+Zawierucha-1103781;1103781
 Andrzej Szczepkowski ;/person/Andrzej+Szczepkowski-46101;46101
 Tadeusz Schmidt ;/person/Tadeusz+Schmidt-47561;47561
 Stefan Friedmann ;/person/Stefan+Friedmann-504;504
 Tadeusz Huk ;/person/Tadeusz+Huk-245;245
 Jacek Król ;/person/Jacek+Kr%C3%B3l-204873;204873
 Beata Fido ;/person/Beata+Fido-317625;317625
 Katarzyna Żak I ;/person/Katarzyna+%C5%BBak-128554;128554
 Piotr Cyrwus ;/person/Piotr+Cyrwus-5638;5638
 Jerzy Kryszak ;/person/Jerzy+Kryszak-8935;8935
 Violetta Arlak ;/person/Violetta+Arlak-86539;86539
 Tomasz Zaliwski ;/person/Tomasz+Zaliwski-44452;44452
 Jacek Mikołajczak ;/person/Jacek+Miko%C5%82ajczak-71675;71675
 Wojciech Solarz II ;/person/Wojciech+Solarz-433912;433912
 Lesław Żurek ;/person/Les%C5%82aw+%C5%BBurek-326879;326879
 Piotr Zelt ;/person/Piotr+Zelt-64915;64915
 Stanisław Jasiukiewicz ;/person/Stanis%C5%82aw+Jasiukiewicz-48416;48416
 Witold Dębicki ;/person/Witold+D%C4%99bicki-59022;59022
 Michalina Olszańska ;/person/Michalina+Olsza%C5%84ska-1911546;1911546
 Henryk Gołębiewski ;/person/Henryk+Go%C5%82%C4%99biewski-48178;48178
 Kasia Smutniak ;/person/Kasia+Smutniak-48278;48278
 Franciszek Trzeciak ;/person/Franciszek+Trzeciak-8614;8614
 Sławomir Sulej ;/person/S%C5%82awomir+Sulej-43410;43410
 Leszek Zduń ;/person/Leszek+Zdu%C5%84-92947;92947
 Przemysław Sadowski ;/person/Przemys%C5%82aw+Sadowski-7400;7400
 Tomasz Borkowski I ;/person/Tomasz+Borkowski-255835;255835
 Zdzisław Kuźniar ;/person/Zdzis%C5%82aw+Ku%C5%BAniar-8731;8731
 Stanisław Brudny ;/person/Stanis%C5%82aw+Brudny-53559;53559
 Karol Strasburger ;/person/Karol+Strasburger-8883;8883
 Wojciech Wysocki I ;/person/Wojciech+Wysocki-6023;6023
 August Kowalczyk ;/person/August+Kowalczyk-8879;8879
 Bronisław Wrocławski I ;/person/Bronis%C5%82aw+Wroc%C5%82awski-7595;7595
 Włodzimierz Boruński ;/person/W%C5%82odzimierz+Boru%C5%84ski-44201;44201
 Andrzej Gawroński I ;/person/Andrzej+Gawro%C5%84ski-7048;7048
 Bartosz Obuchowicz ;/person/Bartosz+Obuchowicz-5732;5732
 Stanisław Zaczyk ;/person/Stanis%C5%82aw+Zaczyk-45039;45039
 Jowita Budnik ;/person/Jowita+Budnik-48181;48181
 Anna Radwan ;/person/Anna+Radwan-8856;8856
 Aleksander Mikołajczak ;/person/Aleksander+Miko%C5%82ajczak-68834;68834
 Marek Bukowski ;/person/Marek+Bukowski-13152;13152
 Agnieszka Holland I ;/person/Agnieszka+Holland-241;241
 Marcin Perchuć ;/person/Marcin+Perchu%C4%87-40239;40239
 Zdzisław Kozień ;/person/Zdzis%C5%82aw+Kozie%C5%84-8602;8602
 Michał Lorenc ;/person/Micha%C5%82+Lorenc-452;452
 Tomasz Bagiński ;/person/Tomasz+Bagi%C5%84ski-74634;74634
 Józef Pieracki ;/person/J%C3%B3zef+Pieracki-48687;48687
 Adam Bauman I ;/person/Adam+Bauman-91315;91315
 Elżbieta Czyżewska ;/person/El%C5%BCbieta+Czy%C5%BCewska-7036;7036
 Barbara Krafftówna ;/person/Barbara+Krafft%C3%B3wna-7109;7109
 Barbara Brylska ;/person/Barbara+Brylska-8827;8827
 Magdalena Czerwińska ;/person/Magdalena+Czerwi%C5%84ska-115982;115982
 Kazimierz Rudzki ;/person/Kazimierz+Rudzki-8975;8975
 Agnieszka Pilaszewska ;/person/Agnieszka+Pilaszewska-31466;31466
 Krzysztof Litwin ;/person/Krzysztof+Litwin-49735;49735
 Marcin Hycnar ;/person/Marcin+Hycnar-471077;471077
 Mateusz Więcławek ;/person/Mateusz+Wi%C4%99c%C5%82awek-2034939;2034939
 Piotr Gąsowski ;/person/Piotr+G%C4%85sowski-5686;5686
 Katarzyna Dąbrowska II ;/person/Katarzyna+D%C4%85browska-684829;684829
 Maria Dębska ;/person/Maria+D%C4%99bska-445362;445362
 Tadeusz Pluciński ;/person/Tadeusz+Pluci%C5%84ski-49627;49627
 Jan Himilsbach ;/person/Jan+Himilsbach-449;449
 Bogdan Baer ;/person/Bogdan+Baer-46773;46773
 Filip Bobek ;/person/Filip+Bobek-509903;509903
